query,num_relevant,top_k_ids,top_k_titles,precision@5,recall@5,mrr,ndcg@5
Apfel,17,p82; p49; p59; p21; p94,Avocado; Haferflocken Feinblatt; Basilikum Frisch; Apfelmus Ungesüßt; Apfel-Birnen Mus,0.4,0.11764705882352941,0.25,0.27727342735504823
Apfelsaft naturtrüb,1,p6; p70; p90; p88; p98,Apfelsaft Naturtrüb; Apfel-Mango Saft; Apfel-Möhren Saft; Bio Zitronen; Apfel-Blaubeer Smoothie,0.2,1.0,1.0,1.0
veganes Frühstück,9,p63; p5; p83; p72; p96,Veganes Hack; Veganes Proteinriegel Schoko; Vegane Bratwurst; Vegane Nuggets; Vegane Pizza Margherita,0.0,0.0,0.0,0.0
italienische Pasta mit Tomate und Basilikum,8,p91; p3; p42; p31; p96,Bio Spaghetti; Vollkorn Spaghetti; Tomatenmark; Vegane Lasagne; Vegane Pizza Margherita,0.6,0.375,1.0,0.7227265726449519
proteinreiche Produkte,14,p5; p63; p72; p30; p66,Veganes Proteinriegel Schoko; Veganes Hack; Vegane Nuggets; Bio Hähnchenbrust; Hirse,0.8,0.2857142857142857,1.0,0.8687949224876582
Bio Produkte,16,p1; p99; p58; p30; p47,Bio Haferdrink Natur; Bio Walnüsse; Bio Sojadrink; Bio Hähnchenbrust; Bio Lachsfilet,1.0,0.3125,1.0,1.0
Schokolade,3,p18; p68; p49; p19; p43,Dunkle Schokolade 70%; Zartbitterschokolade 85%; Haferflocken Feinblatt; Mandeldrink Ungesüßt; Rucola,0.4,0.6666666666666666,1.0,0.7653606369886217
Käse,5,p49; p86; p40; p10; p29,Haferflocken Feinblatt; Feta Käse; Frischkäse Natur; Cheddar Käse Mild; Gouda Käse,0.8,0.8,0.5,0.6608397947263839
exotische Getränke,7,p62; p46; p19; p6; p12,Granatapfelsaft; Grüner Tee; Mandeldrink Ungesüßt; Apfelsaft Naturtrüb; Mineralwasser Sprudel,0.2,0.14285714285714285,1.0,0.3391602052736161
Nüsse und Kerne,7,p99; p69; p45; p13; p61,Bio Walnüsse; Pecannüsse; Cashewkerne; Erdnussbutter Crunchy; Datteln,0.8,0.5714285714285714,1.0,0.8687949224876582
